Город,Название в системе,Координаты,Фактический адрес,Юридический адрес,ИНН / КПП склада,Р/С,Телефон,GLN,GUID
Адыгейск,АДЫГЕЙСК_РФЦ,"44.871214, 39.179640. Смотреть на картах","385200, Республика Адыгея, Теучежский район, хутор Кочкин, ул. Логистическая, д. 3, стр. 1","ООО «Интернет Решения», 385200, Республика Адыгея, Теучежский район, хутор Кочкин, Логистическая улица, дом 3, стр. 1",7704217370 / 010045001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05, добавочный 70596",4610063718840,59a176a1-f30e-478f-a7ae-e9b907caeb88
Волгоград,"ВОЛГОГРАД_МРФЦ_КРОССДОКИНГ, ВОЛГОГРАД_МРФЦ","48.768093, 44.417221 Смотреть на картах","400075, Россия, Волгоградская область, г. Волгоград, рабочий поселок Гумрак, тер. Таймырский проезд, д.2","ООО «Интернет Решения»,  Россия, Волгоградская область, г. Волгоград, рабочий поселок Гумрак, тер. Таймырский проезд, д.2",7704217370 / 344345005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон диспетчерской:+7 917 830-03-44;+7 917 830-03-37,4610063718864,f95becc3-065c-4958-a1be-72e5dc23a810
Воронеж,"ВОРОНЕЖ_МРФЦ, ВОРОНЕЖ_МРФЦ_Кроссдокинг","51.807712, 39.214180 Смотреть на картах","396002, Российская Федерация, Воронежская обл., Рамонский район, с/п Айдаровское, тер. Промышленная, ул. 1-я Промышленная зона, 6б","ООО «Интернет Решения»,  396002, Россия, Воронежская обл., Рамонский м.р-н, Айдаровское с.п., тер.Промышленная, ул 1-я Промышленная зона, 6б",7704217370 / 366645006,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон диспетчерской: +7 915 581-00-56,4610063718925,03aef9ee-f1cd-4f02-a762-be70bfc8b54f
Воронеж-2,ВОРОНЕЖ_2_РФЦ,"51.633402, 39.321452 Смотреть на картах","396335, Воронежская область, муниципальный район Новоусманский, сельское поселение Отрадненское, село Александровка, улица Акварельная, здание 1","ООО «Интернет Решения», 396335, Воронежская область, муниципальный район Новоусманский, сельское поселение Отрадненское, село Александровка, улица Акварельная, здание 1",7704217370 / 366345004,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон диспетчерской: +7 495 744 29 61 доб. 73178,4610063718710,Нет GUID
Гривно,"ГРИВНО_РФЦ_КРОССДОКИНГ, ГРИВНО_РФЦ","55.357404, 37.571884. Смотреть на картах","142184, Московская область, городской округ Подольск, деревня Гривно, территория промышленного парка Гривно, д. 1, к. 13","ООО «Интернет Решения», 142184, Российская Федерация, Московская область, городской округ Подольск, деревня Гривно, территория промышленного парка Гривно, д. 1, к. 13",7704217370 / 507445011,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 915 140-00-97,4610063718833,ac9ebd91-cc16-43dd-86ec-216b30686d9
Давыдовское Негабарит,"ДАВЫДОВСКОЕ_РФЦ_НЕГАБАРИТ_КРОССДОКИНГ, ДАВЫДОВСКОЕ_РФЦ_НЕГАБАРИТ",Нет координат,"​Московская обл., г. Истра, д. Давыдовское, ул. Дачная, стр. 3","ООО «Интернет Решения», Московская обл., г. Истра, д. Давыдовское, ул. Дачная, стр. 3",7704217370 / 501745009,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Екатеринбург,"Екатеринбург_РФЦ_НОВЫЙ, ЕКАТЕРИНБУРГ_РФЦ_Кроссдокинг","56.755615, 60.774011. Смотреть на картах","г. Екатеринбург, территория Логопарк Кольцовский, стр. 15","ООО «Интернет Решения», 620025, Свердловская область, г. Екатеринбург, территория Логопарк Кольцовский, стр. 15",7704217370 / 668545001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 232-10-00, доб. 71970 — диспетчер.",4607196261893,abf2c590-205b-4092-8714-f9c374134938
Жуковский,"ЖУКОВСКИЙ_РФЦ_КРОССДОКИНГ, ЖУКОВСКИЙ_РФЦ","55.569752, 38.068367. Смотреть на картах","140182, Московская область, г. Жуковский, районн Замоскворечье, д. 457, стр. 5","ООО «Интернет Решения», 140182, Россия, Московская область, г.о. Жуковский, г. Жуковский, район Замоскворечье, д. 457, стр. 5",7704217370 / 504045009,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 915 130-41-80,4610063718888,6ec4b69f-16ba-4008-b1fe-8de7acd1950b
Казань,"Казань_РФЦ_НОВЫЙ, КАЗАНЬ_РФЦ_Кроссдокинг","55.854507, 48.849047. Смотреть на картах","Республика Татарстан, г. Зеленодольск, промышленный парк Зеленодольск, зд. 19","ООО «Озон Волга», 422527 Россия, Республика Татарстан, Зеленодольский р-н, г. Зеленодольск, Промышленная площадка «Зеленодольск», Промышленный район, здание 19",1648050123 / 164845001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 744-29-61, доб. 77701",4607196246227,e64d4a8b-9fd1-40cc-91a9-eeec07e1143a
Калининград,КАЛИНИНГРАД_МРФЦ,"54.665864, 20.471896. Смотреть на картах","г. Калининград, ул. Печатная, д. 56","ООО «Озон Калининград», г. Калининград, ул. Печатная, д. 56",3906407538 / 390601001,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 981 450-05-83,4610063718895,7238cd53-5fec-4af0-9f57-bf12813c7ed7
